Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
425.0,106.3,0.0,153.5,16.5,852.1,887.1,28.0,60.2946762
318.8,212.5,0.0,155.7,14.3,852.1,880.4,28.0,55.49592324
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,56.0,51.72448952
167.0,75.4,167.0,164.03,7.91,1007.3,770.1,56.0,53.46196904
323.7,282.8,0.0,183.8,10.3,942.7,659.9,28.0,74.69782984
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,28.0,67.69964844
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,56.0,48.9872698
213.5,0.0,174.24,159.21,11.66,1043.6,771.9,56.0,51.25564584
388.6,97.1,0.0,157.9,12.1,852.1,925.7,56.0,55.19944856
425.0,106.3,0.0,153.5,16.5,852.1,887.1,91.0,65.19685056
194.68,0.0,100.52,170.17,7.48,998.0,901.8,100.0,44.27814872
238.05,0.0,94.11,186.66,7.0,949.91,847.01,56.0,39.58971192
387.0,20.0,94.0,157.0,13.93,938.0,845.0,7.0,45.89841732
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,56.0,43.49904084
290.35,0.0,96.18,168.08,9.41,961.18,865.0,56.0,45.08483564
251.81,0.0,99.94,146.14,12.35,1006.0,899.76,56.0,44.14025352
251.81,0.0,99.94,146.14,12.35,1006.0,899.76,100.0,45.3675208
275.07,0.0,121.35,159.48,9.9,1053.6,777.5,28.0,51.3314882
475.0,0.0,59.0,142.0,1.9,1098.0,641.0,28.0,57.226508
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,14.0,29.7508894
250.0,0.0,95.69,191.84,5.33,948.9,857.2,28.0,27.22051248
167.0,75.4,167.0,164.03,7.91,1007.3,770.1,100.0,56.8128224
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,100.0,50.93848688
190.34,0.0,125.18,166.61,9.88,1079.0,798.9,100.0,33.56369168
250.0,0.0,95.69,191.84,5.33,948.9,857.2,100.0,41.1617172
446.0,24.0,79.0,162.0,11.61,967.0,712.0,28.0,57.02655996
387.0,20.0,94.0,157.0,11.61,938.0,845.0,56.0,61.45989064
190.0,190.0,0.0,228.0,0.0,932.0,670.0,90.0,42.32693164
237.5,237.5,0.0,228.0,0.0,932.0,594.0,365.0,38.995383608
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,3.0,28.79941252
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,3.0,28.59946448
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3.0,35.3011712
374.0,189.2,0.0,170.1,10.1,926.1,756.7,7.0,46.20178676
425.0,106.3,0.0,151.4,18.6,936.0,803.7,7.0,46.80163088
425.0,106.3,0.0,153.5,16.5,852.1,887.1,7.0,49.20100736
323.7,282.8,0.0,183.8,10.3,942.7,659.9,7.0,49.80085148
531.3,0.0,0.0,141.8,28.2,852.1,893.7,28.0,56.3991368
401.8,94.7,0.0,147.4,11.4,946.8,852.1,28.0,68.4994406
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28.0,71.29871316
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56.0,77.29715436
323.7,282.8,0.0,183.8,10.3,942.7,659.9,56.0,80.19984832
389.9,189.0,0.0,145.9,22.0,944.7,755.8,56.0,79.40005616
374.0,189.2,0.0,170.1,10.1,926.1,756.7,91.0,64.90037588
425.0,106.3,0.0,151.4,18.6,936.0,803.7,91.0,66.69990824
469.0,117.2,0.0,137.8,32.2,852.1,840.5,91.0,70.69886904
388.6,97.1,0.0,157.9,12.1,852.1,925.7,91.0,57.59882504
222.36,0.0,96.67,189.29,4.46,967.08,870.32,28.0,24.8900836
194.68,0.0,100.52,165.62,7.48,1006.4,905.9,28.0,25.72434956
190.34,0.0,125.18,161.85,9.88,1088.1,802.59,3.0,9.4458212
212.57,0.0,100.39,159.35,10.37,1003.8,903.79,14.0,25.3727168
212.57,0.0,100.39,159.35,10.37,1003.8,903.79,56.0,44.39535964
231.75,0.0,121.62,173.96,6.72,1056.4,778.45,3.0,15.43736764
251.37,0.0,118.27,188.45,5.75,1028.4,757.73,14.0,29.93015316
198.6,132.4,0.0,192.0,0.0,978.4,825.5,90.0,38.074243672
251.37,0.0,118.27,188.45,6.35,1028.4,757.73,3.0,13.12072828
251.37,0.0,118.27,188.45,6.35,1028.4,757.73,56.0,36.63875464
266.0,114.0,0.0,228.0,0.0,932.0,670.0,365.0,52.908319812
290.35,0.0,96.18,168.08,9.41,961.18,865.0,14.0,34.67374804
290.35,0.0,96.18,168.08,9.41,961.18,865.0,100.0,48.97348028
427.5,47.5,0.0,228.0,0.0,932.0,594.0,7.0,35.076402024
277.05,0.0,97.39,160.6,11.83,973.9,875.61,3.0,23.13881456
198.6,132.4,0.0,192.0,0.0,978.4,825.5,3.0,9.131420144
249.1,0.0,98.75,158.11,12.8,987.76,889.01,3.0,15.36152528
190.0,190.0,0.0,228.0,0.0,932.0,670.0,28.0,40.856968808
252.31,0.0,98.75,146.25,14.17,987.76,889.01,28.0,50.60064364
469.0,117.2,0.0,137.8,32.2,852.1,840.5,3.0,40.1964508
275.07,0.0,121.35,159.48,9.9,1053.6,777.5,3.0,23.80071152
375.0,93.8,0.0,126.6,23.4,852.1,992.6,28.0,56.69561148
475.0,118.8,0.0,181.1,8.9,852.1,781.5,28.0,68.29949256
275.07,0.0,121.35,159.48,9.9,1053.6,777.5,14.0,38.76923548
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,56.0,72.99482412
297.16,0.0,117.54,174.8,9.52,1022.8,753.45,3.0,21.91154728
337.9,189.0,0.0,174.9,9.5,944.7,755.8,56.0,59.89478012
213.74,0.0,174.74,154.79,10.16,1053.5,776.35,3.0,17.57474324
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91.0,79.29663476
450.1,50.0,0.0,200.0,3.0,1124.4,613.2,28.0,39.37597436
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,91.0,76.80073164
475.0,0.0,0.0,162.0,9.5,1044.0,662.0,28.0,58.52272288
222.36,0.0,96.67,189.29,4.46,967.08,870.32,56.0,29.44751996
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,3.0,20.72564856
190.34,0.0,125.18,161.85,9.88,1088.1,802.59,28.0,28.46846404
251.37,0.0,118.27,192.94,5.75,1043.6,754.3,3.0,11.98309288
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,28.0,24.24197616
190.34,0.0,125.18,166.61,9.88,1079.0,798.9,14.0,19.41564416
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,56.0,50.77301264
250.0,0.0,95.69,191.84,5.33,948.9,857.2,56.0,39.64487
212.57,0.0,100.39,159.35,10.37,1003.8,903.79,100.0,47.73931824
165.0,128.5,132.1,175.06,8.08,1005.8,746.6,100.0,55.0201848
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,28.0,31.11605188
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,56.0,39.14844728
213.5,0.0,174.24,154.61,11.66,1052.3,775.48,28.0,45.93978588
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,14.0,35.9561734
376.0,0.0,0.0,214.6,0.0,1003.5,762.36,100.0,43.0577762
315.0,137.0,0.0,145.0,5.9,1130.0,745.0,28.0,81.75116932
200.0,200.0,0.0,190.0,0.0,1145.0,660.0,28.0,49.24927068
234.0,156.0,0.0,189.0,5.85,981.0,760.0,28.0,39.300132
285.0,190.0,0.0,163.0,7.6,1031.0,685.0,28.0,53.57917996
165.0,128.5,132.1,175.06,8.08,1005.8,746.6,3.0,19.41564416
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,3.0,21.29101888
190.34,0.0,125.18,166.61,9.88,1079.0,798.9,3.0,12.5484632
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,14.0,34.23937816
165.0,0.02,143.57,163.81,0.0,1005.6,900.9,28.0,26.200088
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,28.0,38.20386516
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,28.0,37.81086384
165.0,128.5,132.1,175.06,8.08,1005.8,746.6,56.0,53.72396992
446.0,24.0,79.0,162.0,11.64,967.0,712.0,7.0,38.01770664
427.5,47.5,0.0,228.0,0.0,932.0,594.0,28.0,37.427515184
475.0,0.0,0.0,228.0,0.0,932.0,594.0,7.0,38.60376124
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,7.0,14.58931216
401.8,94.7,0.0,147.4,11.4,946.8,852.1,3.0,41.09966436
323.7,282.8,0.0,183.8,10.3,942.7,659.9,3.0,28.29609504
425.0,106.3,0.0,153.5,16.5,852.1,887.1,7.0,49.20100736
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,7.0,37.99702236
439.0,177.0,0.0,186.0,11.1,884.9,707.9,7.0,56.09576736
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,28.0,59.79825348
425.0,106.3,0.0,153.5,16.5,852.1,887.1,56.0,64.30053176
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,91.0,66.59648684
425.0,106.3,0.0,153.5,16.5,852.1,887.1,91.0,65.19685056
531.3,0.0,0.0,141.8,28.2,852.1,893.7,91.0,59.19840936
190.34,0.0,125.18,161.85,9.88,1088.1,802.59,56.0,38.56239268
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,100.0,53.90323368
229.68,0.0,118.16,195.23,6.13,1028.1,757.63,14.0,22.31833812
238.05,0.0,94.11,186.66,7.0,949.91,847.01,100.0,44.298833
251.37,0.0,118.27,188.45,5.75,1028.4,757.73,3.0,17.22311048
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,3.0,7.31534036
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,28.0,31.2677366
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,14.0,23.5111316
277.05,0.0,97.39,160.6,11.83,973.9,875.61,100.0,55.6407132
251.81,0.0,99.94,146.14,12.35,1006.0,899.76,3.0,21.02212324
246.83,0.0,125.08,143.3,11.99,1086.8,800.89,100.0,66.42411784
275.07,0.0,121.35,159.48,9.9,1053.6,777.5,100.0,58.60546
297.16,0.0,117.54,174.8,9.52,1022.8,753.45,56.0,51.95891136
213.5,0.0,174.24,154.61,11.66,1052.3,775.48,100.0,59.30183076
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,56.0,61.99078716
520.0,0.0,0.0,170.0,5.2,855.0,855.0,28.0,60.28088668
250.0,180.0,95.0,159.0,9.45,860.0,800.0,28.0,67.86512268
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,28.0,41.20308576
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,56.0,53.77223324
446.0,24.0,79.0,162.0,10.3,967.0,712.0,28.0,53.38612668
387.0,20.0,94.0,157.0,14.32,938.0,845.0,7.0,36.83870268
491.0,26.0,123.0,210.0,3.93,882.0,699.0,28.0,55.55108132
332.5,142.5,0.0,228.0,0.0,932.0,594.0,28.0,33.01900564
475.0,0.0,0.0,228.0,0.0,932.0,594.0,28.0,39.28978986
266.0,114.0,0.0,228.0,0.0,932.0,670.0,270.0,51.732763232
425.0,106.3,0.0,151.4,18.6,936.0,803.7,3.0,36.3009114
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7.0,22.89749796
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28.0,71.29871316
425.0,106.3,0.0,153.5,16.5,852.1,887.1,56.0,64.30053176
439.0,177.0,0.0,186.0,11.1,884.9,707.9,56.0,71.69860924
222.36,0.0,96.67,189.29,4.46,967.08,870.32,3.0,11.57630204
229.97,0.0,118.31,195.47,4.63,1029.4,758.59,3.0,10.0318758
229.68,0.0,118.16,195.23,6.13,1028.1,757.63,56.0,31.35047372
212.0,0.0,124.78,159.0,7.84,1085.4,799.54,14.0,31.35047372
231.75,0.0,121.62,173.96,6.72,1056.4,778.45,100.0,45.83636448
277.05,0.0,97.39,160.6,11.83,973.9,875.61,28.0,48.28400428
249.1,0.0,98.75,158.11,12.8,987.76,889.01,14.0,28.6822016
252.31,0.0,98.75,146.25,14.17,987.76,889.01,14.0,42.29245784
376.0,0.0,0.0,214.6,0.0,1003.5,762.36,28.0,31.97100212
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,3.0,23.07676172
167.0,75.4,167.0,164.03,7.91,1007.3,770.1,14.0,32.90179472
251.37,0.0,118.27,192.94,5.75,1043.6,754.3,14.0,20.72564856
167.0,75.4,167.0,164.03,7.91,1007.3,770.1,28.0,41.40992856
446.0,24.0,79.0,162.0,11.64,967.0,712.0,3.0,25.02108404
446.0,24.0,79.0,162.0,11.64,967.0,712.0,56.0,55.25460664
387.0,20.0,94.0,157.0,13.93,938.0,845.0,3.0,25.510612
198.6,132.4,0.0,192.0,0.0,978.4,825.5,360.0,44.296075096
380.0,0.0,0.0,228.0,0.0,932.0,670.0,180.0,53.104130996
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,360.0,44.698039604
337.9,189.0,0.0,174.9,9.5,944.7,755.8,28.0,49.89737812
194.68,0.0,100.52,165.62,7.48,1006.4,905.9,56.0,33.96358776
166.09,0.0,163.27,176.46,4.49,1058.6,780.09,28.0,21.53923024
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,100.0,39.2311844
229.68,0.0,118.16,195.23,6.13,1028.1,757.63,3.0,13.35515012
212.52,0.0,100.37,159.32,8.71,1007.8,903.59,14.0,26.31040416
212.0,0.0,124.78,159.0,7.84,1085.4,799.54,100.0,47.8151606
251.37,0.0,118.27,188.45,6.35,1028.4,757.73,28.0,32.66047812
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,100.0,48.67011084
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,100.0,48.15300384
251.81,0.0,99.94,146.14,12.35,1006.0,899.76,28.0,33.94290348
218.85,0.0,124.13,158.49,11.33,1078.7,794.91,56.0,37.2661778
218.85,0.0,124.13,158.49,11.33,1078.7,794.91,100.0,46.2293658
376.0,0.0,0.0,214.6,0.0,1003.5,762.36,3.0,16.27852836
376.0,0.0,0.0,214.6,0.0,1003.5,762.36,14.0,25.62092816
356.0,119.0,0.0,160.0,9.03,1061.0,657.0,28.0,58.99846132
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,3.0,15.81657944
190.34,0.0,125.18,166.61,9.88,1079.0,798.9,28.0,24.84871504
251.37,0.0,118.27,192.94,5.75,1043.6,754.3,100.0,40.14818748
446.0,24.0,79.0,162.0,11.64,967.0,712.0,28.0,51.021224
446.0,24.0,79.0,162.0,11.64,967.0,712.0,3.0,23.34565736
446.0,24.0,79.0,162.0,11.64,967.0,712.0,56.0,56.14403068
427.5,47.5,0.0,228.0,0.0,932.0,594.0,180.0,41.836714204
540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28.0,79.98611076
380.0,0.0,0.0,228.0,0.0,932.0,670.0,365.0,52.516697444
380.0,95.0,0.0,228.0,0.0,932.0,594.0,7.0,32.823194456
332.5,142.5,0.0,228.0,0.0,932.0,594.0,180.0,39.77931782
337.9,189.0,0.0,174.9,9.5,944.7,755.8,3.0,24.0971862
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,56.0,54.89607912
194.68,0.0,100.52,165.62,7.48,1006.4,905.9,14.0,24.98661024
212.07,0.0,121.62,180.31,5.69,1057.6,779.32,28.0,24.90387312
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,14.0,17.8229546
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,14.0,30.38520732
213.76,98.06,24.52,181.74,6.65,1066.0,785.52,56.0,47.13257936
250.0,0.0,95.69,187.42,5.53,956.86,861.17,28.0,29.21999288
250.0,0.0,95.69,187.42,5.53,956.86,861.17,100.0,42.34761592
181.38,0.0,167.01,169.59,7.56,1055.6,777.8,28.0,27.77209328
181.38,0.0,167.01,169.59,7.56,1055.6,777.8,56.0,35.57006684
295.71,0.0,95.64,171.54,8.87,955.14,859.2,28.0,39.94134468
246.83,0.0,125.08,143.3,11.99,1086.8,800.89,28.0,52.5035974
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,56.0,66.82401392
218.85,0.0,124.13,158.49,11.33,1078.7,794.91,3.0,15.340841
505.0,0.0,60.0,195.0,0.0,1030.0,630.0,28.0,64.0178466
213.5,0.0,174.24,159.21,11.66,1043.6,771.9,14.0,29.59230992
194.68,0.0,100.52,170.17,7.48,998.0,901.8,14.0,24.28334472
213.5,0.0,174.24,159.21,11.66,1043.6,771.9,28.0,44.63667624
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,100.0,37.6798634
446.0,24.0,79.0,162.0,11.61,967.0,712.0,3.0,35.36322404
446.0,24.0,79.0,162.0,10.3,967.0,712.0,56.0,54.76507868
355.0,19.0,97.0,145.0,12.25,967.0,871.0,28.0,55.45455468
342.0,38.0,0.0,228.0,0.0,932.0,670.0,365.0,56.141962252
332.5,142.5,0.0,228.0,0.0,932.0,594.0,90.0,37.721921436
342.0,38.0,0.0,228.0,0.0,932.0,670.0,90.0,50.45930106
380.0,95.0,0.0,228.0,0.0,932.0,594.0,180.0,40.759063216
374.0,189.2,0.0,170.1,10.1,926.1,756.7,3.0,34.39795764
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3.0,33.39821744
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7.0,55.89581932
388.6,97.1,0.0,157.9,12.1,852.1,925.7,28.0,50.69717028
425.0,106.3,0.0,153.5,16.5,852.1,887.1,28.0,60.2946762
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28.0,71.29871316
469.0,117.2,0.0,137.8,32.2,852.1,840.5,56.0,69.29923276
439.0,177.0,0.0,186.0,11.1,884.9,707.9,91.0,73.29819356
233.81,0.0,94.58,197.89,4.567,947.04,852.16,3.0,10.38350856
233.81,0.0,94.58,197.89,4.567,947.04,852.16,100.0,34.55653712
190.68,0.0,125.4,162.14,7.77,1090.0,804.01,28.0,26.40003604
212.07,0.0,121.62,180.31,5.69,1057.6,779.32,3.0,12.47262084
212.07,0.0,121.62,180.31,5.69,1057.6,779.32,14.0,20.91870184
229.97,0.0,118.31,195.47,4.63,1029.4,758.59,100.0,35.34253976
190.34,0.0,125.18,161.85,9.88,1088.1,802.59,100.0,40.38950408
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,56.0,32.8535314
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,3.0,17.9953236
229.68,0.0,118.16,195.23,6.13,1028.1,757.63,28.0,24.53845084
250.0,0.0,95.69,187.42,5.53,956.86,861.17,3.0,13.81709904
231.75,0.0,121.62,173.96,6.72,1056.4,778.45,28.0,33.72916592
251.37,0.0,118.27,188.45,5.75,1028.4,757.73,100.0,43.58177796
181.38,0.0,167.01,169.59,7.56,1055.6,777.8,3.0,13.62404576
277.05,0.0,97.39,160.6,11.83,973.9,875.61,56.0,51.03501352
295.71,0.0,95.64,171.54,8.87,955.14,859.2,3.0,22.94576128
295.71,0.0,95.64,171.54,8.87,955.14,859.2,100.0,52.04164848
213.5,0.0,174.24,154.61,11.66,1052.3,775.48,3.0,17.36790044
213.5,0.0,174.24,154.61,11.66,1052.3,775.48,14.0,33.70158688
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,56.0,53.95839176
520.0,0.0,0.0,175.0,5.2,870.0,805.0,28.0,51.021224
213.5,0.0,174.24,159.21,11.66,1043.6,771.9,3.0,15.60973664
165.0,128.5,132.1,175.06,8.08,1005.8,746.6,14.0,33.08795324
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,28.0,33.68779736
165.0,0.02,143.57,163.81,0.0,1005.6,900.9,56.0,36.56291228
251.37,0.0,118.27,192.94,5.75,1043.6,754.3,56.0,39.2656582
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,100.0,49.99390476
387.0,20.0,94.0,157.0,11.61,938.0,845.0,7.0,41.66503468
427.5,47.5,0.0,228.0,0.0,932.0,594.0,270.0,43.01296026
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28.0,28.23748958
304.0,76.0,0.0,228.0,0.0,932.0,670.0,365.0,55.260122448
237.5,237.5,0.0,228.0,0.0,932.0,594.0,28.0,30.079769452
237.5,237.5,0.0,228.0,0.0,932.0,594.0,180.0,36.251958604
427.5,47.5,0.0,228.0,0.0,932.0,594.0,90.0,41.542997428
332.5,142.5,0.0,228.0,0.0,932.0,594.0,7.0,30.275580636
485.0,0.0,0.0,146.0,0.0,1120.0,800.0,28.0,71.98818916
475.0,118.8,0.0,181.1,8.9,852.1,781.5,3.0,37.79707432
388.6,97.1,0.0,157.9,12.1,852.1,925.7,3.0,28.096147
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3.0,35.3011712
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,7.0,42.79577532
469.0,117.2,0.0,137.8,32.2,852.1,840.5,7.0,54.89607912
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,28.0,52.20022796
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28.0,71.29871316
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56.0,77.29715436
222.36,0.0,96.67,189.29,4.46,967.08,870.32,14.0,24.44881896
233.81,0.0,94.58,197.89,4.567,947.04,852.16,14.0,22.13907436
190.68,0.0,125.4,162.14,7.77,1090.0,804.01,3.0,15.04436632
190.68,0.0,125.4,162.14,7.77,1090.0,804.01,100.0,40.56876784
229.97,0.0,118.31,195.47,4.63,1029.4,758.59,28.0,24.48329276
166.09,0.0,163.27,176.46,4.49,1058.6,780.09,3.0,10.76272036
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,28.0,45.70536404
250.0,0.0,95.69,187.42,5.53,956.86,861.17,56.0,38.32797084
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,3.0,7.39807748
295.71,0.0,95.64,171.54,8.87,955.14,859.2,14.0,35.2322236
213.74,0.0,174.74,154.79,10.16,1053.5,776.35,56.0,46.6430514
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,28.0,63.14221208
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,100.0,63.52831864
500.0,0.0,0.0,140.0,4.0,966.0,853.0,28.0,67.568648
