Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
332.5,142.5,0.0,228.0,0.0,932.0,594.0,7.0,30.275580636
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,270.0,74.16693332
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,3.0,30.44726016
141.3,212.0,0.0,203.5,0.0,971.8,748.5,7.0,10.3938507
148.0,175.0,0.0,171.0,2.0,1000.0,828.0,28.0,26.91714304
318.8,212.5,0.0,155.7,14.3,852.1,880.4,7.0,33.39821744
102.0,153.0,0.0,192.0,0.0,887.0,942.0,7.0,7.675936308
254.0,0.0,0.0,198.0,0.0,968.0,863.0,3.0,9.307926
322.5,148.6,0.0,185.8,8.5,951.0,709.5,28.0,52.426376088
135.7,203.5,0.0,185.7,0.0,1076.2,759.3,7.0,7.507014688
149.5,236.0,0.0,175.8,12.6,846.8,892.7,28.0,32.96384756
158.4,0.0,194.9,219.7,11.0,897.7,712.9,28.0,8.536402356
289.0,0.0,0.0,192.0,0.0,913.2,895.3,28.0,25.573354316
210.7,316.1,0.0,185.7,0.0,977.0,689.3,7.0,21.819846972
164.2,0.0,200.1,181.2,12.6,849.3,846.0,28.0,15.091250688
446.0,24.0,79.0,162.0,11.64,967.0,712.0,56.0,55.25460664
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,28.0,55.50971276
381.4,0.0,0.0,185.7,0.0,1104.6,784.3,28.0,22.489328168
425.0,106.3,0.0,153.5,16.5,852.1,887.1,56.0,64.30053176
290.35,0.0,96.18,168.08,9.41,961.18,865.0,56.0,45.08483564
190.34,0.0,125.18,166.61,9.88,1079.0,798.9,14.0,19.41564416
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,56.0,32.8535314
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7.0,55.89581932
165.0,0.02,143.57,163.81,0.0,1005.6,900.9,100.0,37.9556538
255.0,0.0,0.0,192.0,0.0,889.8,945.0,28.0,18.746162964
359.0,19.0,141.0,154.0,10.91,942.0,801.0,3.0,25.1166257153
531.3,0.0,0.0,141.8,28.2,852.1,893.7,56.0,58.79851328
153.0,102.0,0.0,192.0,0.0,888.0,943.1,90.0,26.322814728
475.0,118.8,0.0,181.1,8.9,852.1,781.5,28.0,68.29949256
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,120.0,39.38286912
295.71,0.0,95.64,171.54,8.87,955.14,859.2,100.0,52.04164848
277.0,0.0,0.0,191.0,0.0,968.0,856.0,90.0,31.25394708
339.2,0.0,0.0,185.7,0.0,1069.2,754.3,28.0,31.899986092
152.0,178.0,139.0,168.0,18.0,944.0,695.0,28.0,36.34917472
266.0,114.0,0.0,228.0,0.0,932.0,670.0,28.0,45.854290856
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56.0,77.29715436
213.5,0.0,174.24,159.21,11.66,1043.6,771.9,3.0,15.60973664
250.0,0.0,0.0,182.0,0.0,1100.0,820.0,7.0,12.73462172
166.8,250.2,0.0,203.5,0.0,975.6,692.6,7.0,15.748321316
212.07,0.0,121.62,180.31,5.69,1057.6,779.32,100.0,39.6103962
136.4,161.6,125.8,171.6,10.4,922.6,764.4,28.0,29.073134492
238.1,0.0,0.0,185.7,0.0,1118.8,789.3,28.0,17.576122192
145.0,0.0,179.0,202.0,8.0,824.0,869.0,28.0,10.53519328
475.0,0.0,0.0,228.0,0.0,932.0,594.0,7.0,38.60376124
277.05,0.0,97.39,160.6,11.83,973.9,875.61,3.0,23.13881456
238.2,158.8,0.0,185.7,0.0,1040.6,734.3,7.0,15.691094808
255.3,98.8,77.0,188.6,6.5,919.0,749.3,28.0,33.798802996
313.8,0.0,112.6,169.9,10.1,925.3,782.9,28.0,38.461039708
288.0,192.0,0.0,192.0,0.0,932.0,717.8,3.0,16.10960674
446.0,24.0,79.0,162.0,11.61,967.0,712.0,28.0,57.02655996
200.0,133.0,0.0,192.0,0.0,965.4,806.2,28.0,30.439675924
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,91.0,66.59648684
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,100.0,56.06129356
218.85,0.0,124.13,158.49,11.33,1078.7,794.91,3.0,15.340841
145.7,172.6,0.0,181.9,3.4,985.8,816.8,28.0,23.744174488
323.7,282.8,0.0,183.8,10.3,942.7,659.9,28.0,74.69782984
425.0,106.3,0.0,153.5,16.5,852.1,887.1,28.0,60.2946762
275.07,0.0,121.35,159.48,9.9,1053.6,777.5,3.0,23.80071152
229.97,0.0,118.31,195.47,4.63,1029.4,758.59,100.0,35.34253976
212.0,141.3,0.0,203.5,0.0,973.4,750.0,28.0,33.003837168
237.5,237.5,0.0,228.0,0.0,932.0,594.0,28.0,30.079769452
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,3.0,20.72564856
265.0,111.0,86.0,195.0,6.0,833.0,790.0,28.0,41.540929
153.0,145.0,113.0,178.0,8.0,867.0,824.0,28.0,26.22766704
272.8,181.9,0.0,185.7,0.0,1012.4,714.3,28.0,31.38150014
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,56.0,72.99482412
318.8,212.5,0.0,155.7,14.3,852.1,880.4,91.0,68.09954452
190.34,0.0,125.18,166.61,9.88,1079.0,798.9,3.0,12.5484632
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,56.0,48.58737372
314.0,145.0,113.0,179.0,8.0,869.0,690.0,28.0,46.2293658
251.81,0.0,99.94,146.14,12.35,1006.0,899.76,3.0,21.02212324
375.0,93.8,0.0,126.6,23.4,852.1,992.6,91.0,62.5009994
158.8,238.2,0.0,185.7,0.0,1040.6,734.3,7.0,9.617500724
252.0,0.0,0.0,185.0,0.0,1111.0,784.0,7.0,13.71367764
165.0,128.5,132.1,175.06,8.08,1005.8,746.6,56.0,53.72396992
149.0,117.6,91.7,182.9,7.1,953.4,780.3,28.0,23.524231644
450.1,50.0,0.0,200.0,3.0,1124.4,613.2,28.0,39.37597436
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,7.0,14.58931216
380.0,0.0,0.0,228.0,0.0,932.0,670.0,270.0,53.300631656
157.0,236.0,0.0,192.0,0.0,935.4,781.2,90.0,43.377003588
331.0,0.0,0.0,192.0,0.0,978.0,825.0,180.0,38.99676256
382.0,0.0,0.0,186.0,0.0,1047.0,739.0,28.0,37.42475728
388.6,97.1,0.0,157.9,12.1,852.1,925.7,56.0,55.19944856
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,3.0,15.87173752
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,90.0,35.76312012
212.52,0.0,100.37,159.32,8.71,1007.8,903.59,14.0,26.31040416
190.34,0.0,125.18,161.85,9.88,1088.1,802.59,28.0,28.46846404
160.0,250.0,0.0,168.0,12.0,1049.0,688.0,28.0,39.45181672
194.68,0.0,100.52,165.62,7.48,1006.4,905.9,56.0,33.96358776
249.1,0.0,98.75,158.11,12.8,987.76,889.01,14.0,28.6822016
222.36,0.0,96.67,189.29,4.46,967.08,870.32,3.0,11.57630204
143.0,169.0,143.0,191.0,8.0,967.0,643.0,28.0,29.72331036
375.0,93.8,0.0,126.6,23.4,852.1,992.6,28.0,56.69561148
304.8,0.0,99.6,196.0,9.8,959.4,705.2,28.0,30.12320644
212.57,0.0,100.39,159.35,10.37,1003.8,903.79,28.0,37.404073
298.0,137.0,107.0,201.0,6.0,878.0,655.0,28.0,53.52402188
380.0,95.0,0.0,228.0,0.0,932.0,594.0,270.0,41.15137506
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,100.0,53.90323368
388.6,97.1,0.0,157.9,12.1,852.1,925.7,7.0,34.90127512
157.0,236.0,0.0,192.0,0.0,935.4,781.2,28.0,33.664355176
425.0,106.3,0.0,151.4,18.6,936.0,803.7,91.0,66.69990824
331.0,170.0,0.0,195.0,8.0,811.0,802.0,28.0,56.61287436
451.0,0.0,0.0,165.0,11.25,1030.0,745.0,28.0,78.80021204
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7.0,55.89581932
302.0,0.0,0.0,203.0,0.0,974.0,817.0,28.0,21.7529678
164.0,163.0,128.0,197.0,8.0,961.0,641.0,28.0,27.234302
480.0,0.0,0.0,192.0,0.0,936.0,721.0,3.0,24.39366088
238.05,0.0,94.11,186.66,7.0,949.91,847.01,3.0,19.93275116
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,14.0,38.60376124
236.0,157.0,0.0,192.0,0.0,972.6,749.1,3.0,13.5654403
405.0,0.0,0.0,175.0,0.0,1120.0,695.0,28.0,52.30364936
153.0,145.0,113.0,178.0,8.0,1002.0,689.0,28.0,25.55887532
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,14.0,36.93522932
326.0,166.0,0.0,174.0,9.0,882.0,790.0,28.0,61.23236356
148.1,0.0,182.1,181.4,15.0,838.9,884.3,28.0,15.526310044
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56.0,77.29715436
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,14.0,21.50475644
212.52,0.0,100.37,159.32,8.71,1007.8,903.59,100.0,42.919881
236.0,157.0,0.0,192.0,0.0,972.6,749.1,7.0,20.416073836
266.0,112.0,87.0,178.0,10.0,910.0,745.0,28.0,39.41734292
322.2,0.0,115.6,196.0,10.4,817.9,813.4,28.0,31.178794196
284.0,119.7,0.0,168.3,7.2,970.4,794.2,28.0,40.934879596
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,14.0,17.8229546
321.0,164.0,0.0,190.0,5.0,870.0,774.0,28.0,57.21271848
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,3.0,14.306627
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,7.0,17.43684804
237.5,237.5,0.0,228.0,0.0,932.0,594.0,270.0,38.407950056
304.0,76.0,0.0,228.0,0.0,932.0,670.0,180.0,50.94882902
236.0,157.0,0.0,192.0,0.0,972.6,749.1,90.0,47.782065752
516.0,0.0,0.0,162.0,8.26,801.0,802.0,28.0,41.36856
212.0,0.0,124.78,159.0,7.84,1085.4,799.54,3.0,19.51906556
162.0,190.0,148.0,179.0,19.0,838.0,741.0,28.0,33.75674496
167.0,187.0,195.0,185.0,7.0,898.0,636.0,28.0,23.8903434
288.4,121.0,0.0,177.4,7.0,907.9,829.5,28.0,42.140083644
194.68,0.0,100.52,165.62,7.48,1006.4,905.9,100.0,37.34202016
198.6,132.4,0.0,192.0,0.0,978.4,825.5,180.0,41.719503284
475.0,0.0,59.0,142.0,1.9,1098.0,641.0,28.0,57.226508
425.0,106.3,0.0,151.4,18.6,936.0,803.7,28.0,61.79773388
212.52,0.0,100.37,159.32,8.71,1007.8,903.59,56.0,42.54756396
246.83,0.0,125.08,143.3,11.99,1086.8,800.89,28.0,52.5035974
342.0,38.0,0.0,228.0,0.0,932.0,670.0,90.0,50.45930106
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,28.0,39.1622368
385.0,0.0,136.0,158.0,20.0,903.0,768.0,28.0,55.55108132
273.0,105.0,82.0,210.0,9.0,904.0,680.0,28.0,37.16965116
213.5,0.0,174.24,159.21,11.66,1043.6,771.9,28.0,44.63667624
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91.0,79.29663476
425.0,106.3,0.0,153.5,16.5,852.1,887.1,91.0,65.19685056
349.0,0.0,0.0,192.0,0.0,1047.0,806.9,3.0,15.049192652
155.6,243.5,0.0,180.3,10.7,1022.0,697.7,28.0,37.363393916
157.0,236.0,0.0,192.0,0.0,935.4,781.2,3.0,9.694722036
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,3.0,23.07676172
186.2,124.1,0.0,185.7,0.0,1083.4,764.3,7.0,7.995853172
305.3,203.5,0.0,203.5,0.0,965.4,631.0,28.0,43.377003588
225.0,0.0,0.0,181.0,0.0,1113.0,833.0,28.0,17.3403214
166.8,250.2,0.0,203.5,0.0,975.6,692.6,28.0,33.947729812
251.37,0.0,118.27,188.45,5.75,1028.4,757.73,28.0,29.65436276
165.0,128.5,132.1,175.06,8.08,1005.8,746.6,28.0,46.38794528
133.1,210.2,0.0,195.7,3.1,949.4,795.3,28.0,28.937997196
200.0,0.0,0.0,180.0,0.0,1125.0,845.0,7.0,7.83934212
425.0,106.3,0.0,153.5,16.5,852.1,887.1,7.0,49.20100736
325.6,166.4,0.0,174.0,8.9,881.6,790.0,28.0,61.23581094
135.0,105.0,193.0,196.0,6.0,965.0,643.0,28.0,21.91154728
142.0,167.0,130.0,174.0,11.0,883.0,785.0,28.0,44.6090972
238.05,0.0,94.11,186.66,7.0,949.91,847.01,28.0,30.2335226
382.0,0.0,0.0,186.0,0.0,1111.0,784.0,7.0,11.46598588
213.5,0.0,174.24,159.21,11.66,1043.6,771.9,100.0,52.95865156
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,3.0,21.29101888
356.0,119.0,0.0,160.0,9.03,1061.0,657.0,28.0,58.99846132
424.0,22.0,132.0,168.0,8.92,822.0,750.0,56.0,74.3649114581
153.0,102.0,0.0,192.0,0.0,888.0,943.1,7.0,8.374375496
312.7,0.0,0.0,178.1,8.0,999.7,822.2,28.0,25.10382116
475.0,118.8,0.0,181.1,8.9,852.1,781.5,56.0,72.29845336
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,100.0,66.9481196
425.0,106.3,0.0,153.5,16.5,852.1,887.1,91.0,65.19685056
305.3,203.5,0.0,203.5,0.0,965.4,631.0,3.0,14.143910664
190.34,0.0,125.18,161.85,9.88,1088.1,802.59,3.0,9.4458212
491.0,26.0,123.0,210.0,3.93,882.0,699.0,56.0,59.5904257153
146.0,230.0,0.0,202.0,3.0,827.0,872.0,28.0,33.0603742
212.57,0.0,100.39,159.35,10.37,1003.8,903.79,14.0,25.3727168
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,56.0,35.852752
250.0,0.0,95.69,191.84,5.33,948.9,857.2,100.0,41.1617172
260.0,101.0,78.0,171.0,10.0,936.0,763.0,28.0,49.77327244
148.1,0.0,136.6,158.1,16.1,1001.8,830.1,28.0,17.959470848
236.0,0.0,0.0,193.0,0.0,968.0,885.0,180.0,24.10408096
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,7.0,52.61391356
425.0,106.3,0.0,153.5,16.5,852.1,887.1,91.0,65.19685056
380.0,95.0,0.0,228.0,0.0,932.0,594.0,365.0,43.698299404
266.2,112.3,87.5,177.9,10.4,909.7,744.5,28.0,39.421479776
425.0,106.3,0.0,153.5,16.5,852.1,887.1,56.0,64.30053176
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,28.0,38.20386516
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,14.0,33.00521612
297.8,137.2,106.9,201.3,6.0,878.4,655.3,28.0,53.524711356
425.0,106.3,0.0,153.5,16.5,852.1,887.1,28.0,60.2946762
157.0,236.0,0.0,192.0,0.0,935.4,781.2,7.0,16.889404096
255.0,0.0,0.0,192.0,0.0,889.8,945.0,3.0,8.204074924
339.0,0.0,0.0,185.0,0.0,1069.0,754.0,7.0,21.16001844
480.0,0.0,0.0,192.0,0.0,936.2,712.2,90.0,54.315540328
380.0,0.0,0.0,228.0,0.0,932.0,670.0,365.0,52.516697444
469.0,117.2,0.0,137.8,32.2,852.1,840.5,7.0,54.89607912
190.34,0.0,125.18,161.85,9.88,1088.1,802.59,14.0,22.7182342
154.8,183.4,0.0,193.3,9.1,1047.4,696.7,28.0,18.287661424
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28.0,28.23748958
148.5,139.4,108.6,192.7,6.1,892.4,780.0,28.0,23.696600644
376.0,0.0,0.0,214.6,0.0,1003.5,762.36,28.0,31.97100212
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,28.0,59.79825348
425.0,106.3,0.0,153.5,16.5,852.1,887.1,7.0,49.20100736
159.0,209.0,161.0,201.0,7.0,848.0,669.0,28.0,30.88163004
246.83,0.0,125.08,143.3,11.99,1086.8,800.89,56.0,60.32225524
397.0,17.2,158.0,167.0,20.8,967.0,633.0,28.0,55.64760796
284.0,15.0,141.0,179.0,5.46,842.0,801.0,28.0,43.73346268
154.0,144.0,112.0,220.0,10.0,923.0,658.0,28.0,16.49916068
233.81,0.0,94.58,197.89,4.567,947.04,852.16,14.0,22.13907436
389.9,189.0,0.0,145.9,22.0,944.7,755.8,91.0,82.5992248
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,180.0,71.62276688
321.4,0.0,127.9,182.5,11.5,870.1,779.7,28.0,37.265488324
446.0,24.0,79.0,162.0,10.3,967.0,712.0,28.0,53.38612668
236.0,0.0,0.0,194.0,0.0,968.0,885.0,90.0,21.94602108
237.5,237.5,0.0,228.0,0.0,932.0,594.0,365.0,38.995383608
310.0,0.0,0.0,192.0,0.0,970.0,850.0,7.0,14.98920824
167.0,75.4,167.0,164.03,7.91,1007.3,770.1,56.0,53.46196904
374.0,0.0,0.0,190.0,7.0,1013.0,730.0,28.0,39.05192064
332.5,142.5,0.0,228.0,0.0,932.0,594.0,90.0,37.721921436
260.9,100.5,78.3,200.6,8.6,864.5,761.5,28.0,32.401235144
213.76,98.06,24.52,181.74,6.65,1066.0,785.52,3.0,13.18278112
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,28.0,31.11605188
194.68,0.0,100.52,170.17,7.48,998.0,901.8,100.0,44.27814872
277.0,0.0,0.0,191.0,0.0,968.0,856.0,180.0,32.32952964
389.9,189.0,0.0,145.9,22.0,944.7,755.8,3.0,40.59634688
251.37,0.0,118.27,188.45,5.75,1028.4,757.73,3.0,17.22311048
295.71,0.0,95.64,171.54,8.87,955.14,859.2,28.0,39.94134468
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,100.0,39.2311844
181.38,0.0,167.01,169.59,7.56,1055.6,777.8,14.0,21.60128308
162.0,190.1,148.1,178.8,18.8,838.1,741.4,28.0,33.762260768
251.37,0.0,118.27,188.45,5.75,1028.4,757.73,14.0,29.93015316
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,7.0,9.01145132
108.3,162.4,0.0,203.5,0.0,938.2,849.0,28.0,20.593958644
350.0,0.0,0.0,203.0,0.0,974.0,775.0,56.0,29.97841648
273.0,0.0,90.0,199.0,11.0,931.0,762.0,28.0,32.23989776
198.6,132.4,0.0,192.0,0.0,978.4,825.5,3.0,9.131420144
231.75,0.0,121.62,173.96,6.72,1056.4,778.45,3.0,15.43736764
375.0,93.8,0.0,126.6,23.4,852.1,992.6,3.0,28.99936056
336.0,0.0,0.0,182.0,3.0,986.0,817.0,28.0,44.86420332
198.6,132.4,0.0,192.0,0.0,978.4,825.5,7.0,14.638264956
339.0,0.0,0.0,197.0,0.0,968.0,781.0,180.0,36.44570136
350.0,0.0,0.0,203.0,0.0,974.0,775.0,7.0,18.12632404
439.0,177.0,0.0,186.0,11.1,884.9,707.9,3.0,39.300132
250.0,0.0,95.69,187.42,5.53,956.86,861.17,100.0,42.34761592
233.81,0.0,94.58,197.89,4.567,947.04,852.16,28.0,22.83544512
213.74,0.0,174.74,154.79,10.16,1053.5,776.35,56.0,46.6430514
275.07,0.0,121.35,159.48,9.9,1053.6,777.5,100.0,58.60546
401.8,94.7,0.0,147.4,11.4,946.8,852.1,28.0,68.4994406
264.5,111.0,86.5,195.5,5.9,832.6,790.4,28.0,41.542307952
149.0,139.0,109.0,193.0,6.0,892.0,780.0,28.0,23.69039536
212.0,141.3,0.0,203.5,0.0,973.4,750.0,3.0,6.8085755
212.07,0.0,121.62,180.31,5.69,1057.6,779.32,28.0,24.90387312
